time,P_success_CRW,P_success_CRN_kappa_0,P_success_CRN_kappa_1,P_success_CRN_kappa_10
6.566416040100250484e+00,1.641187977474914406e-01,1.603304257121234144e-01,2.632627202344980377e-01,5.417463944782896501e-02
6.616541353383458279e+00,1.658031405928324931e-01,1.603701472071948908e-01,2.655557218138939746e-01,5.499968010849876077e-02
6.666666666666666075e+00,1.674856848604634463e-01,1.603818690576978012e-01,2.678427504195096676e-01,5.582683142049738034e-02
6.716791979949874758e+00,1.691663859735086928e-01,1.603827519224394482e-01,2.701236081622818697e-01,5.665603401890784152e-02
6.766917293233082553e+00,1.708452008148024781e-01,1.603926421956786141e-01,2.723981571672501323e-01,5.748722991110888358e-02
6.817042606516290348e+00,1.725220876845563189e-01,1.604341444101372582e-01,2.746663244434602857e-01,5.832036244181615370e-02
6.867167919799498144e+00,1.741970062592985424e-01,1.605323102643594346e-01,2.769281021079500471e-01,5.915537625889699669e-02
6.917293233082705939e+00,1.758699175520428148e-01,1.607138601187456661e-01,2.791835428729737556e-01,5.999221727996029152e-02
6.967418546365914622e+00,1.775407838736451915e-01,1.610058983443866110e-01,2.814327510954969247e-01,6.083083265971189757e-02
7.017543859649122417e+00,1.792095687953094707e-01,1.614341480866958722e-01,2.836758700845785075e-01,6.167117075809380733e-02
7.067669172932330213e+00,1.808762371122043799e-01,1.620208079223180997e-01,2.859130667230425082e-01,6.251318110917514215e-02
7.117794486215538896e+00,1.825407548081553477e-01,1.627822124400464254e-01,2.881445147398685735e-01,6.335681439081242150e-02
7.167919799498746691e+00,1.842030890213768868e-01,1.637265478697480514e-01,2.903703781283899499e-01,6.420202239506100916e-02
7.218045112781954487e+00,1.858632080112108120e-01,1.648519185110997043e-01,2.925907962137063167e-01,6.504875799932607894e-02
7.268170426065162282e+00,1.875210811258409549e-01,1.661450675743381122e-01,2.948058717191338607e-01,6.589697513825920616e-02
7.318295739348370077e+00,1.891766787709504849e-01,1.675810192126039322e-01,2.970156628754926365e-01,6.674662877637149716e-02
7.368421052631578760e+00,1.908299723792937497e-01,1.691238256377338711e-01,2.992201801892098167e-01,6.759767488136669833e-02
7.418546365914786556e+00,1.924809343811542950e-01,1.707284806787096043e-01,3.014193879843194424e-01,6.845007039817252448e-02
7.468671679197994351e+00,1.941295381756600880e-01,1.723439130313813017e-01,3.036132103198666554e-01,6.930377322366965132e-02
7.518796992481203034e+00,1.957757581029317406e-01,1.739168189276448784e-01,3.058015404218193956e-01,7.015874218209294799e-02
7.568922305764410829e+00,1.974195694170345350e-01,1.753959584485155210e-01,3.079842524152254235e-01,7.101493700110028673e-02
7.619047619047618625e+00,1.990609482597148483e-01,1.767364451820203630e-01,3.101612139417717628e-01,7.187231828849505177e-02
7.669172932330826420e+00,2.006998716348910028e-01,1.779035238970040345e-01,3.123322982230124500e-01,7.273084750958380695e-02
7.719298245614034215e+00,2.023363173838808593e-01,1.788753658779207445e-01,3.144973942794537791e-01,7.359048696516024002e-02
7.769423558897242899e+00,2.039702641613408973e-01,1.796445166072722088e-01,3.166564143158622224e-01,7.445119977010272727e-02
7.819548872180450694e+00,2.056016914118968253e-01,1.802177943966908336e-01,3.188092976894834063e-01,7.531294983256342501e-02
7.869674185463658489e+00,2.072305793474435720e-01,1.806146399655977897e-01,3.209560113331693110e-01,7.617570183374267057e-02
7.919799498746867172e+00,2.088569089250964239e-01,1.808641271502117176e-01,3.230965469482106611e-01,7.703942120823337181e-02
7.969924812030074968e+00,2.104806618257722695e-01,1.810010321899473418e-01,3.252309156548787161e-01,7.790407412492006411e-02
8.020050125313282763e+00,2.121018204333851576e-01,1.810614937246018963e-01,3.273591410475054087e-01,7.876962746841265073e-02
8.070175438596491446e+00,2.137203678146321895e-01,1.810788551037885163e-01,3.294812517187163392e-01,7.963604882101826821e-02
8.120300751879698353e+00,2.153362876993599184e-01,1.810802532665124476e-01,3.315972742883575020e-01,8.050330644521630497e-02
8.170426065162907037e+00,2.169495644614882757e-01,1.810844061013077155e-01,3.337072278113668578e-01,8.137136926663768310e-02
8.220551378446113944e+00,2.185601831004785334e-01,1.811008682621342292e-01,3.358111201770723753e-01,8.224020685753008486e-02
8.270676691729322627e+00,2.201681292233272635e-01,1.811308008602531272e-01,3.379089467933236168e-01,8.310978942069335851e-02
8.320802005012531311e+00,2.217733890270753017e-01,1.811690677451407439e-01,3.400006915200375346e-01,8.398008777388110691e-02
8.370927318295738218e+00,2.233759492818110926e-01,1.812072667701751794e-01,3.420863295231661994e-01,8.485107333464270152e-02
8.421052631578946901e+00,2.249757973141572054e-01,1.812371612058952808e-01,3.441658314978448541e-01,8.572271810560372352e-02
8.471177944862155584e+00,2.265729209912268616e-01,1.812539177308811755e-01,3.462391685815001674e-01,8.659499466016551406e-02
8.521303258145362491e+00,2.281673087050340998e-01,1.812585933225077106e-01,3.483063172516601691e-01,8.746787612861994798e-02
8.571428571428571175e+00,2.297589493573468922e-01,1.812594388355078801e-01,3.503672635718459993e-01,8.834133618465755955e-02
8.621553884711779858e+00,2.313478323449690566e-01,1.812717824704731528e-01,3.524220062926988195e-01,8.921534903226335800e-02
8.671679197994986765e+00,2.329339475454390851e-01,1.813164905335259425e-01,3.544705585065931475e-01,9.008988939298978593e-02
8.721804511278195449e+00,2.345172853031343985e-01,1.814172381622494168e-01,3.565129477612466458e-01,9.096493249359183242e-02
8.771929824561402356e+00,2.360978364157674814e-01,1.815970209290185267e-01,3.585492147317206335e-01,9.184045405401430884e-02
8.822055137844611039e+00,2.376755921212666822e-01,1.818744671826373338e-01,3.605794107067902265e-01,9.271643027572651352e-02
8.872180451127819723e+00,2.392505440850248577e-01,1.822605496149710680e-01,3.626035942494451048e-01,9.359283783038496729e-02
8.922305764411026630e+00,2.408226843875113099e-01,1.827562365250107179e-01,3.646218274364123602e-01,9.446965384881678141e-02
8.972431077694235313e+00,2.423920055122316675e-01,1.833514780802836253e-01,3.666341720712581465e-01,9.534685591032310281e-02
9.022556390977442220e+00,2.439585003340299096e-01,1.840257142696393178e-01,3.686406862104398829e-01,9.622442203227843383e-02
9.072681704260650903e+00,2.455221621077196548e-01,1.847498532366248503e-01,3.706414212568380773e-01,9.710233066002382785e-02
9.122807017543859587e+00,2.470829844570367750e-01,1.854894399683162387e-01,3.726364197776111942e-01,9.798056065705085249e-02
9.172932330827066494e+00,2.486409613639044280e-01,1.862085528109234112e-01,3.746257141082131037e-01,9.885909129545500384e-02
9.223057644110275177e+00,2.501960871579996804e-01,1.868738580341132716e-01,3.766093257241323045e-01,9.973790224665901594e-02
9.273182957393483861e+00,2.517483565066176432e-01,1.874582370759088068e-01,3.785872653035965429e-01,1.006169735723961844e-01
9.323308270676690768e+00,2.532977644048177712e-01,1.879434783232394324e-01,3.805595333702547212e-01,1.014962857159404930e-01
9.373433583959899451e+00,2.548443061658521858e-01,1.883216811902219678e-01,3.825261213923705217e-01,1.023758194935867616e-01
9.423558897243108134e+00,2.563879774118604793e-01,1.885952279728635439e-01,3.844870132188754619e-01,1.032555560863610555e-01
9.473684210526315042e+00,2.579287740648297800e-01,1.887754035285867937e-01,3.864421867457289439e-01,1.041354770319606882e-01
9.523809523809523725e+00,2.594666923378082801e-01,1.888799471866278168e-01,3.883916157216950049e-01,1.050155642169137149e-01
9.573934837092730632e+00,2.610017287263668995e-01,1.889299725258117846e-01,3.903352716156313074e-01,1.058957998689590285e-01
