generation,p_transport,modular_cost,mass_modular,mass_global,top1_strategy,top1_mass,top2_strategy,top2_mass,top3_strategy,top3_mass
45,0.5,0.05,0.998594005839149,0.001405994160850982,"M(0.5,0.01)",0.9124305540120152,"M(0.5,0.05)",0.07194044045298958,"M(1,0.01)",0.0013161629944100234
46,0.5,0.05,0.998594165612584,0.001405834387416118,"M(0.5,0.01)",0.9161707514503273,"M(0.5,0.05)",0.06833763011538327,"M(1,0.01)",0.0012321534047747688
47,0.5,0.05,0.998594315712789,0.0014056842872108676,"M(0.5,0.01)",0.9197185467380191,"M(0.5,0.05)",0.06490620993850506,"M(1,0.01)",0.001160361707484137
48,0.5,0.05,0.9985944568685761,0.00140554313142359,"M(0.5,0.01)",0.9230837753726038,"M(0.5,0.05)",0.06163961230150329,"M(1,0.01)",0.001099017228541665
49,0.5,0.05,0.9985945897311707,0.0014054102688293307,"M(0.5,0.01)",0.9262757056245767,"M(0.5,0.05)",0.05853132559169626,"M(1,0.01)",0.0010466028349938195
50,0.5,0.05,0.9985947148850924,0.0014052851149075314,"M(0.5,0.01)",0.9293030878663625,"M(0.5,0.05)",0.05557492490067874,"M(1,0.01)",0.0010018193643386417
51,0.5,0.05,0.9985948328573284,0.0014051671426715648,"M(0.5,0.01)",0.9321741971930116,"M(0.5,0.05)",0.05276409694713907,"M(1,0.01)",0.0009635548830029841
52,0.5,0.05,0.9985949441250649,0.0014050558749350776,"M(0.5,0.01)",0.9348968703773262,"M(0.5,0.05)",0.05009266011147785,"M(1,0.01)",0.0009308581543625344
53,0.5,0.05,0.9985950491222166,0.0014049508777836206,"M(0.5,0.01)",0.9374785380501982,"M(0.5,0.05)",0.04755458032773116,"M(1,0.01)",0.0009029157677526113
54,0.5,0.05,0.9985951482449427,0.0014048517550568644,"M(0.5,0.01)",0.9399262528635701,"M(0.5,0.05)",0.04514398346230945,"M(1,0.01)",0.0008790324449388986
55,0.5,0.05,0.998595241856322,0.001404758143677899,"M(0.5,0.01)",0.9422467142772398,"M(0.5,0.05)",0.04285516471253791,"M(1,0.01)",0.0008586140994463662
56,0.5,0.05,0.9985953302903074,0.0014046697096924323,"M(0.5,0.01)",0.9444462905101697,"M(0.5,0.05)",0.040682595477495656,"M(1,0.01)",0.0008411532770978032
57,0.5,0.05,0.998595413855097,0.0014045861449029,"M(0.5,0.01)",0.9465310381104545,"M(0.5,0.05)",0.038620928086369896,"M(1,0.01)",0.000826216653368999
58,0.5,0.05,0.9985954928359989,0.0014045071640011765,"M(0.5,0.01)",0.9485067195240658,"M(0.5,0.05)",0.03666499871313853,"M(1,0.01)",0.000813434305100021
59,0.5,0.05,0.9985955674978806,0.0014044325021192736,"M(0.5,0.01)",0.9503788189794481,"M(0.5,0.05)",0.03480982875896015,"M(1,0.01)",0.0008024905111353933
60,0.5,0.05,0.998595638087269,0.0014043619127305992,"M(0.5,0.01)",0.9521525569515785,"M(0.5,0.05)",0.033050624943620543,"M(1,0.01)",0.0007931158690425467
61,0.5,0.05,0.9985957048341548,0.0014042951658454093,"M(0.5,0.01)",0.9538329034239927,"M(0.5,0.05)",0.031382778313481775,"M(1,0.01)",0.0007850805436168497
62,0.5,0.05,0.9985957679535468,0.0014042320464533304,"M(0.5,0.01)",0.9554245901293191,"M(0.5,0.05)",0.029801862344557555,"M(1,0.01)",0.0007781884878451922
63,0.5,0.05,0.9985958276468261,0.0014041723531736142,"M(0.5,0.01)",0.9569321219171147,"M(0.5,0.05)",0.0283036302947457,"M(1,0.01)",0.0007722724987657773
64,0.5,0.05,0.9985958841029194,0.0014041158970802504,"M(0.5,0.01)",0.9583597873712774,"M(0.5,0.05)",0.026884011938185244,"M(1,0.01)",0.0007671899895969475
65,0.5,0.05,0.9985959374993254,0.0014040625006745036,"M(0.5,0.01)",0.959711668777303,"M(0.5,0.05)",0.02553910979660257,"M(1,0.01)",0.0007628193759483762
66,0.5,0.05,0.9985959880030177,0.0014040119969819665,"M(0.5,0.01)",0.9609916515214323,"M(0.5,0.05)",0.02426519496689842,"M(1,0.01)",0.0007590569881775838
67,0.5,0.05,0.9985960357712445,0.0014039642287550019,"M(0.5,0.01)",0.9622034329887137,"M(0.5,0.05)",0.02305870263072127,"M(1,0.01)",0.0007558144342862155
68,0.5,0.05,0.9985960809522355,0.001403919047764616,"M(0.5,0.01)",0.9633505310146917,"M(0.5,0.05)",0.021916227320054927,"M(1,0.01)",0.0007530163484071331
69,0.5,0.05,0.9985961236858317,0.001403876314168427,"M(0.5,0.01)",0.9644362919353583,"M(0.5,0.05)",0.02083451800265623,"M(1,0.01)",0.0007505984691309256
70,0.5,0.05,0.9985961641040564,0.0014038358959435936,"M(0.5,0.01)",0.9654638982718174,"M(0.5,0.05)",0.01981047304229476,"M(1,0.01)",0.0007485059998496072
71,0.5,0.05,0.998596202331624,0.0014037976683753974,"M(0.5,0.01)",0.9664363760794893,"M(0.5,0.05)",0.01884113508098802,"M(1,0.01)",0.0007466922101237772
72,0.5,0.05,0.9985962384864061,0.0014037615135936972,"M(0.5,0.01)",0.9673566019863404,"M(0.5,0.05)",0.017923685883640284,"M(1,0.01)",0.0007451172429545148
73,0.5,0.05,0.9985962726798494,0.001403727320150738,"M(0.5,0.01)",0.9682273099403675,"M(0.5,0.05)",0.017055441179552572,"M(1,0.01)",0.0007437470978914595
74,0.5,0.05,0.9985963050173653,0.0014036949826348594,"M(0.5,0.01)",0.9690510976831559,"M(0.5,0.05)",0.016233845530065988,"M(1,0.01)",0.0007425527642461394
75,0.5,0.05,0.998596335598684,0.0014036644013155173,"M(0.5,0.01)",0.969830432963651,"M(0.5,0.05)",0.015456467247038138,"M(1,0.01)",0.0007415094824024149
76,0.5,0.05,0.9985963645181837,0.0014036354818157742,"M(0.5,0.01)",0.9705676595041832,"M(0.5,0.05)",0.014720993382853674,"M(1,0.01)",0.0007405961144088037
77,0.5,0.05,0.9985963918651908,0.0014036081348090062,"M(0.5,0.01)",0.9712650027291313,"M(0.5,0.05)",0.0140252248091658,"M(1,0.01)",0.0007397946077741
78,0.5,0.05,0.9985964177242626,0.0014035822757370964,"M(0.5,0.01)",0.971924575265358,"M(0.5,0.05)",0.013367071398497937,"M(1,0.01)",0.0007390895387318905
79,0.5,0.05,0.998596442175452,0.0014035578245477902,"M(0.5,0.01)",0.9725483822225724,"M(0.5,0.05)",0.012744547320151367,"M(1,0.01)",0.000738467723246433
80,0.5,0.05,0.9985964652945507,0.0014035347054492458,"M(0.5,0.01)",0.9731383262610509,"M(0.5,0.05)",0.012155766459521412,"M(1,0.01)",0.0007379178857495716
81,0.5,0.05,0.9985964871533197,0.0014035128466800921,"M(0.5,0.01)",0.9736962124535816,"M(0.5,0.05)",0.011598937967881577,"M(1,0.01)",0.0007374303770669517
82,0.5,0.05,0.9985965078197067,0.0014034921802935701,"M(0.5,0.01)",0.9742237529481101,"M(0.5,0.05)",0.011072361947918634,"M(1,0.01)",0.0007369969342472528
83,0.5,0.05,0.9985965273580449,0.0014034726419545058,"M(0.5,0.01)",0.9747225714372459,"M(0.5,0.05)",0.010574425278759986,"M(1,0.01)",0.000736610476080873
84,0.5,0.05,0.9985965458292517,0.0014034541707480508,"M(0.5,0.01)",0.9751942074405813,"M(0.5,0.05)",0.010103597582902208,"M(1,0.01)",0.0007362649290107731
85,0.5,0.05,0.9985965632910008,0.0014034367089992609,"M(0.5,0.01)",0.9756401204056041,"M(0.5,0.05)",0.009658427336301595,"M(1,0.01)",0.0007359550789204812
86,0.5,0.05,0.9985965797978972,0.0014034202021026988,"M(0.5,0.01)",0.9760616936328813,"M(0.5,0.05)",0.009237538121903142,"M(1,0.01)",0.0007356764449519742
87,0.5,0.05,0.9985965954016386,0.0014034045983613414,"M(0.5,0.01)",0.9764602380310846,"M(0.5,0.05)",0.008839625026044459,"M(1,0.01)",0.0007354251720758336
88,0.5,0.05,0.9985966101511656,0.001403389848834162,"M(0.5,0.01)",0.9768369957073678,"M(0.5,0.05)",0.008463451176459058,"M(1,0.01)",0.0007351979396220045
89,0.5,0.05,0.9985966240928085,0.001403375907191819,"M(0.5,0.01)",0.9771931433985446,"M(0.5,0.05)",0.0081078444200042,"M(1,0.01)",0.0007349918833938284
90,0.5,0.05,0.9985966372704203,0.0014033627295799444,"M(0.5,0.01)",0.9775297957484463,"M(0.5,0.05)",0.007771694137738497,"M(1,0.01)",0.0007348045293412263
91,0.5,0.05,0.9985966497255103,0.0014033502744895767,"M(0.5,0.01)",0.9778480084368022,"M(0.5,0.05)",0.007453948194562262,"M(1,0.01)",0.0007346337370699442
92,0.5,0.05,0.9985966614973657,0.0014033385026343166,"M(0.5,0.01)",0.9781487811649002,"M(0.5,0.05)",0.007153610020297841,"M(1,0.01)",0.00073447765172024
93,0.5,0.05,0.9985966726231662,0.001403327376833831,"M(0.5,0.01)",0.9784330605032385,"M(0.5,0.05)",0.006869735818819092,"M(1,0.01)",0.0007343346629668771
94,0.5,0.05,0.9985966831380962,0.0014033168619033542,"M(0.5,0.01)",0.9787017426062982,"M(0.5,0.05)",0.006601431901629822,"M(1,0.01)",0.0007342033700783608
95,0.5,0.05,0.998596693075451,0.001403306924548857,"M(0.5,0.01)",0.9789556757994835,"M(0.5,0.05)",0.006347852142132921,"M(1,0.01)",0.000734082552131779
96,0.5,0.05,0.9985967024667319,0.0014032975332675948,"M(0.5,0.01)",0.9791956630431993,"M(0.5,0.05)",0.00610819554671864,"M(1,0.01)",0.0007339711426145016
97,0.5,0.05,0.9985967113417462,0.0014032886582537483,"M(0.5,0.01)",0.979422464278931,"M(0.5,0.05)",0.00588170393872563,"M(1,0.01)",0.0007338682077587827
98,0.5,0.05,0.9985967197286909,0.0014032802713088933,"M(0.5,0.01)",0.9796367986620929,"M(0.5,0.05)",0.00566765975128691,"M(1,0.01)",0.000733772928053024
99,0.5,0.05,0.998596727654243,0.0014032723457570637,"M(0.5,0.01)",0.9798393466863098,"M(0.5,0.05)",0.0054653839250601785,"M(1,0.01)",0.0007336845824565917
100,0.5,0.05,0.9985967351436358,0.0014032648563641638,"M(0.5,0.01)",0.9800307522036723,"M(0.5,0.05)",0.005274233906853327,"M(1,0.01)",0.0007336025349158059
101,0.5,0.05,0.9985967422207382,0.0014032577792615253,"M(0.5,0.01)",0.9802116243453989,"M(0.5,0.05)",0.005093601745188445,"M(1,0.01)",0.0007335262228388967
102,0.5,0.05,0.9985967489081268,0.0014032510918733896,"M(0.5,0.01)",0.9803825393472034,"M(0.5,0.05)",0.00492291227889723,"M(1,0.01)",0.0007334551472388952
103,0.5,0.05,0.9985967552271517,0.0014032447728481324,"M(0.5,0.01)",0.9805440422835576,"M(0.5,0.05)",0.004761621414905151,"M(1,0.01)",0.000733388864296959
104,0.5,0.05,0.9985967611980069,0.0014032388019930332,"M(0.5,0.01)",0.9806966487148898,"M(0.5,0.05)",0.004609214491437934,"M(1,0.01)",0.0007333269781356404
105,0.5,0.05,0.9985967668397875,0.0014032331602124271,"M(0.5,0.01)",0.9808408462516524,"M(0.5,0.05)",0.004465204722970164,"M(1,0.01)",0.00073326913462309
