trial,T_env,recall,leakage,selectivity,t_end,p_in,p_out,epsilon,N,seed
33,1.0,0.23257800789098043,0.6254215708633308,0.3718739786508006,100.0,0.3,0.02,3.0,150,1
33,inf,0.26666666666666405,0.6666666666666601,0.4,100.0,0.3,0.02,3.0,150,1
34,0.1,0.12598791162587375,0.1797623285179332,0.7008582535873478,100.0,0.3,0.02,3.0,150,1
34,1.0,0.27564892297177285,0.6173193041045694,0.446525681505466,100.0,0.3,0.02,3.0,150,1
34,inf,0.2666666666666649,0.6666666666666621,0.4000000000000001,100.0,0.3,0.02,3.0,150,1
35,0.1,0.47802959099637776,0.5219599918020709,0.9158356933564523,100.0,0.3,0.02,3.0,150,1
35,1.0,0.36843459934926437,0.5857492525476489,0.6289971310194602,100.0,0.3,0.02,3.0,150,1
35,inf,0.26666666666665984,0.6666666666666496,0.39999999999999997,100.0,0.3,0.02,3.0,150,1
36,0.1,0.636963560811319,0.2207962968907288,2.884847118276398,100.0,0.3,0.02,3.0,150,1
36,1.0,0.267651193922487,0.668515312498555,0.4003665868507171,100.0,0.3,0.02,3.0,150,1
36,inf,0.2666666666666674,0.6666666666666684,0.4,100.0,0.3,0.02,3.0,150,1
37,0.1,0.5179403183867874,0.12418236732723464,4.1708040322822635,100.0,0.3,0.02,3.0,150,1
37,1.0,0.3254997813512799,0.5747705764429641,0.5663125335428161,100.0,0.3,0.02,3.0,150,1
37,inf,0.26666666666666355,0.666666666666659,0.39999999999999997,100.0,0.3,0.02,3.0,150,1
38,0.1,0.6456727420748,0.35354701727916116,1.8262712185886607,100.0,0.3,0.02,3.0,150,1
38,1.0,0.3790460196661003,0.5845048990892173,0.6484907487631574,100.0,0.3,0.02,3.0,150,1
38,inf,0.2666666666666697,0.6666666666666741,0.40000000000000013,100.0,0.3,0.02,3.0,150,1
39,0.1,0.49906751650128955,0.46255753097738395,1.0789306909494263,100.0,0.3,0.02,3.0,150,1
39,1.0,0.2882456538759839,0.6736595626297035,0.4278802972094474,100.0,0.3,0.02,3.0,150,1
39,inf,0.266666666666669,0.6666666666666724,0.4,100.0,0.3,0.02,3.0,150,1
40,0.1,0.07548977499337775,0.3763764165446646,0.20056988609013812,100.0,0.3,0.02,3.0,150,1
40,1.0,0.16557823362540408,0.7279915373194509,0.22744527255781338,100.0,0.3,0.02,3.0,150,1
40,inf,0.2666666666666672,0.6666666666666682,0.3999999999999999,100.0,0.3,0.02,3.0,150,1
41,0.1,0.2238414191904391,0.4843286507564484,0.46216844458991335,100.0,0.3,0.02,3.0,150,1
41,1.0,0.2681080243212036,0.6403068519420924,0.4187180310627858,100.0,0.3,0.02,3.0,150,1
41,inf,0.26666666666667005,0.666666666666675,0.4000000000000001,100.0,0.3,0.02,3.0,150,1
42,0.1,0.6267354892184297,0.16478131696789514,3.803437797141399,100.0,0.3,0.02,3.0,150,1
42,1.0,0.2868687276245768,0.6148810274485209,0.4665434690918221,100.0,0.3,0.02,3.0,150,1
42,inf,0.2666666666666696,0.6666666666666738,0.4000000000000001,100.0,0.3,0.02,3.0,150,1
43,0.1,0.675801032064266,0.3241978757267105,2.0845325730448243,100.0,0.3,0.02,3.0,150,1
43,1.0,0.3060916581317636,0.667281915083209,0.4587141524637221,100.0,0.3,0.02,3.0,150,1
43,inf,0.2666666666666682,0.6666666666666705,0.4,100.0,0.3,0.02,3.0,150,1
44,0.1,0.15266114067166628,0.8404223506503941,0.1816481207972675,100.0,0.3,0.02,3.0,150,1
44,1.0,0.2795496217493513,0.6697515450059494,0.41739302258252803,100.0,0.3,0.02,3.0,150,1
44,inf,0.26666666666666705,0.6666666666666679,0.39999999999999986,100.0,0.3,0.02,3.0,150,1
