p_transport,modular_cost,best_global_strategy,best_global_fitness,best_modular_strategy,best_modular_fitness,winner,modular_gain
0.05,0.125,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5695091753616739,global,0.870915438583909
0.05,0.13,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5645091753616739,global,0.8632692453682261
0.05,0.135,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5595091753616739,global,0.8556230521525433
0.05,0.14,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5545091753616739,global,0.8479768589368605
0.05,0.145,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5495091753616739,global,0.8403306657211776
0.05,0.15,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5445091753616739,global,0.8326844725054948
0.05,0.155,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5395091753616739,global,0.825038279289812
0.05,0.16,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5345091753616739,global,0.8173920860741292
0.05,0.165,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5295091753616739,global,0.8097458928584463
0.05,0.17,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5245091753616739,global,0.8020996996427635
0.05,0.175,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5195091753616738,global,0.7944535064270807
0.05,0.18,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.514509175361674,global,0.7868073132113981
0.05,0.185,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5095091753616738,global,0.7791611199957151
0.05,0.19,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.504509175361674,global,0.7715149267800324
0.05,0.195,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.4995091753616739,global,0.7638687335643495
0.05,0.2,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.4945091753616739,global,0.7562225403486668
0.1,0.0,G(0.05),0.636973029894342,"M(0.5,0.01)",0.7103081773606391,modular,1.1151306947461521
0.1,0.005,G(0.05),0.636973029894342,"M(0.5,0.01)",0.7053081773606391,modular,1.107281068835257
