variant,surrogate_id,epsilon,trial,energy_seed,kappa,P_sink_T_end,P_sink_D_end,Selectivity_end,coverage_end,N_edges
rewired_type,3,0.0,3,3042,1.0,0.013472804990003778,0.01430521091310418,0.9418109995652219,0.02777801590310796,1618
rewired_type,3,0.0,4,4042,0.001,0.023131612360167083,0.026319719388511093,0.8788700220483913,0.049451331748678176,1618
rewired_type,3,0.0,4,4042,1.0,0.013472804990003778,0.01430521091310418,0.9418109995652219,0.02777801590310796,1618
rewired_type,3,3.0,0,342,0.001,0.023264380665550415,0.008038827690761845,2.8940016576535963,0.031303208356312257,1618
rewired_type,3,3.0,0,342,1.0,0.010854177575062535,0.008895265656270258,1.2202196081902539,0.01974944323133279,1618
rewired_type,3,3.0,1,1342,0.001,0.002367062675092433,0.0026778804308193694,0.8839314283663648,0.005044943105911802,1618
rewired_type,3,3.0,1,1342,1.0,0.004408291198040569,0.0048618146640912316,0.9067172448371903,0.0092701058621318,1618
rewired_type,3,3.0,2,2342,0.001,0.00849131417973406,0.00772709287687563,1.098901529195613,0.01621840705660969,1618
rewired_type,3,3.0,2,2342,1.0,0.008650021023430172,0.008684263619343515,0.996056937190031,0.017334284642773687,1618
rewired_type,3,3.0,3,3342,0.001,0.007309427094848252,0.0024176034688319567,3.02341851592243,0.009727030563680208,1618
rewired_type,3,3.0,3,3342,1.0,0.005750596156660729,0.0038844271975860237,1.480423203388652,0.009635023354246753,1618
rewired_type,3,3.0,4,4342,0.001,0.004941842102648226,0.0038514662881984165,1.2831066745950264,0.008793308390846643,1618
rewired_type,3,3.0,4,4342,1.0,0.004556345011443725,0.00383019111839431,1.1895868559593563,0.008386536129838036,1618
rewired_type,3,5.0,0,542,0.001,0.0011754690031624253,0.002217158200664571,0.5301692059140937,0.003392627203826996,1618
rewired_type,3,5.0,0,542,1.0,0.0019172966490431217,0.002346985086486139,0.816918973736106,0.004264281735529261,1618
rewired_type,3,5.0,1,1542,0.001,0.022521609160622454,0.008421719457040563,2.674229327256935,0.030943328617663017,1618
rewired_type,3,5.0,1,1542,1.0,0.01129976334089745,0.008078845592438133,1.3986853951108358,0.01937860893333558,1618
rewired_type,3,5.0,2,2542,0.001,0.0017955404258295673,0.0007052569702560373,2.5459378623819546,0.0025007973960856048,1618
rewired_type,3,5.0,2,2542,1.0,0.0019878080139778846,0.0023816716530831064,0.8346272293957955,0.0043694796670609905,1618
rewired_type,3,5.0,3,3542,0.001,0.0004766973662722929,0.003717767919588721,0.12822138886948228,0.004194465285861014,1618
rewired_type,3,5.0,3,3542,1.0,0.0014444482012912698,0.0031991387852046207,0.4515115779034168,0.00464358698649589,1618
rewired_type,3,5.0,4,4542,0.001,0.001766558985271276,0.0010461838256273762,1.6885741686202524,0.002812742810898652,1618
rewired_type,3,5.0,4,4542,1.0,0.0023632276995847745,0.004167127314960142,0.5671119503677239,0.006530355014544916,1618
lesion_KC_MBON,1,0.0,0,42,0.001,0.015152564842421778,0.015567686058127524,0.9733344303624137,0.030720250900549303,1465
lesion_KC_MBON,1,0.0,0,42,1.0,0.009790248973340878,0.007927969318514921,1.234899957198611,0.017718218291855797,1465
lesion_KC_MBON,1,0.0,1,1042,0.001,0.015152564842421778,0.015567686058127524,0.9733344303624137,0.030720250900549303,1465
lesion_KC_MBON,1,0.0,1,1042,1.0,0.009790248973340878,0.007927969318514921,1.234899957198611,0.017718218291855797,1465
lesion_KC_MBON,1,0.0,2,2042,0.001,0.015152564842421778,0.015567686058127524,0.9733344303624137,0.030720250900549303,1465
lesion_KC_MBON,1,0.0,2,2042,1.0,0.009790248973340878,0.007927969318514921,1.234899957198611,0.017718218291855797,1465
lesion_KC_MBON,1,0.0,3,3042,0.001,0.015152564842421778,0.015567686058127524,0.9733344303624137,0.030720250900549303,1465
lesion_KC_MBON,1,0.0,3,3042,1.0,0.009790248973340878,0.007927969318514921,1.234899957198611,0.017718218291855797,1465
lesion_KC_MBON,1,0.0,4,4042,0.001,0.015152564842421778,0.015567686058127524,0.9733344303624137,0.030720250900549303,1465
lesion_KC_MBON,1,0.0,4,4042,1.0,0.009790248973340878,0.007927969318514921,1.234899957198611,0.017718218291855797,1465
lesion_KC_MBON,1,3.0,0,342,0.001,0.005816585184594497,0.004346372259758383,1.3382620805654557,0.01016295744435288,1465
lesion_KC_MBON,1,3.0,0,342,1.0,0.004979046573239785,0.003354685023749281,1.4842068738217544,0.008333731596989066,1465
lesion_KC_MBON,1,3.0,1,1342,0.001,0.005781845945268595,0.004869356184210014,1.1873943341483502,0.010651202129478609,1465
lesion_KC_MBON,1,3.0,1,1342,1.0,0.00520871014746007,0.00313345306459295,1.6622907822218855,0.00834216321205302,1465
lesion_KC_MBON,1,3.0,2,2342,0.001,0.019045420423138292,0.011064941305666513,1.7212400766792701,0.030110361728804803,1465
lesion_KC_MBON,1,3.0,2,2342,1.0,0.009681379096414276,0.006056389586363293,1.598539683876109,0.01573776868277757,1465
lesion_KC_MBON,1,3.0,3,3342,0.001,0.003473398389737284,0.0012750125672081278,2.72420717751725,0.004748410956945412,1465
lesion_KC_MBON,1,3.0,3,3342,1.0,0.004261599302273995,0.0018728335350351435,2.275482161268831,0.006134432837309139,1465
lesion_KC_MBON,1,3.0,4,4342,0.001,0.003416193959104691,0.003876079100263369,0.8813530038618709,0.00729227305936806,1465
lesion_KC_MBON,1,3.0,4,4342,1.0,0.0040268976859384135,0.004281173226395034,0.940606107730114,0.008308070912333447,1465
lesion_KC_MBON,1,5.0,0,542,0.001,0.0024922259612273167,0.0033391483016308697,0.7463657601741515,0.005831374262858187,1465
lesion_KC_MBON,1,5.0,0,542,1.0,0.0031933313391139632,0.002213879937451941,1.4424139645742964,0.005407211276565904,1465
lesion_KC_MBON,1,5.0,1,1542,0.001,0.005128748315332458,0.014169776961685358,0.3619498266513641,0.019298525277017815,1465
lesion_KC_MBON,1,5.0,1,1542,1.0,0.004976870211956051,0.00396178622586077,1.2562187677399268,0.00893865643781682,1465
lesion_KC_MBON,1,5.0,2,2542,0.001,0.004960010176017692,0.0007232503369174548,6.857943807257207,0.0056832605129351465,1465
lesion_KC_MBON,1,5.0,2,2542,1.0,0.004543797074427487,0.0014782216237349043,3.073826683628949,0.006022018698162391,1465
lesion_KC_MBON,1,5.0,3,3542,0.001,0.0006363983979765069,0.00284681057084053,0.22354785536891567,0.0034832089688170372,1465
lesion_KC_MBON,1,5.0,3,3542,1.0,0.0020027073908252765,0.0022926711901364305,0.873525780132726,0.0042953785809617066,1465
lesion_KC_MBON,1,5.0,4,4542,0.001,0.000756041149808409,0.002149174068277608,0.35178218489418756,0.002905215218086017,1465
lesion_KC_MBON,1,5.0,4,4542,1.0,0.0017487969282461763,0.0021938276196149914,0.7971441838971557,0.0039426245478611675,1465
lesion_KC_MBON,2,0.0,0,42,0.001,0.017310564892966097,0.015459442907181901,1.1197405363038335,0.032770007800148,1479
lesion_KC_MBON,2,0.0,0,42,1.0,0.011197184064429403,0.007545860368516167,1.483884344012498,0.01874304443294557,1479
lesion_KC_MBON,2,0.0,1,1042,0.001,0.017310564892966097,0.015459442907181901,1.1197405363038335,0.032770007800148,1479
lesion_KC_MBON,2,0.0,1,1042,1.0,0.011197184064429403,0.007545860368516167,1.483884344012498,0.01874304443294557,1479
lesion_KC_MBON,2,0.0,2,2042,0.001,0.017310564892966097,0.015459442907181901,1.1197405363038335,0.032770007800148,1479
lesion_KC_MBON,2,0.0,2,2042,1.0,0.011197184064429403,0.007545860368516167,1.483884344012498,0.01874304443294557,1479
lesion_KC_MBON,2,0.0,3,3042,0.001,0.017310564892966097,0.015459442907181901,1.1197405363038335,0.032770007800148,1479
lesion_KC_MBON,2,0.0,3,3042,1.0,0.011197184064429403,0.007545860368516167,1.483884344012498,0.01874304443294557,1479
lesion_KC_MBON,2,0.0,4,4042,0.001,0.017310564892966097,0.015459442907181901,1.1197405363038335,0.032770007800148,1479
lesion_KC_MBON,2,0.0,4,4042,1.0,0.011197184064429403,0.007545860368516167,1.483884344012498,0.01874304443294557,1479
lesion_KC_MBON,2,3.0,0,342,0.001,0.00920024703467782,0.0037836488159630937,2.431580593164643,0.012983895850640914,1479
lesion_KC_MBON,2,3.0,0,342,1.0,0.005930548144078136,0.003805979943368739,1.558218443282359,0.009736528087446874,1479
lesion_KC_MBON,2,3.0,1,1342,0.001,0.005893692382233917,0.003991686916355083,1.47649164482547,0.009885379298589,1479
lesion_KC_MBON,2,3.0,1,1342,1.0,0.004172091595232678,0.0026873516942811054,1.5524918463626194,0.006859443289513784,1479
lesion_KC_MBON,2,3.0,2,2342,0.001,0.01216381118944613,0.004796561059523661,2.535944197511822,0.01696037224896979,1479
lesion_KC_MBON,2,3.0,2,2342,1.0,0.0087855184761991,0.004364129456913725,2.0131204999585464,0.013149647933112825,1479
lesion_KC_MBON,2,3.0,3,3342,0.001,0.0035222194554591214,0.0013205085884387764,2.667320367038343,0.004842728043897898,1479
lesion_KC_MBON,2,3.0,3,3342,1.0,0.005257064598107498,0.0016522742040248248,3.181714380167614,0.006909338802132323,1479
lesion_KC_MBON,2,3.0,4,4342,0.001,0.007746786722997485,0.0035677361250151156,2.1713452030573923,0.011314522848012602,1479
lesion_KC_MBON,2,3.0,4,4342,1.0,0.006301963196435473,0.0033847030236074022,1.8618954604345086,0.009686666220042875,1479
lesion_KC_MBON,2,5.0,0,542,0.001,0.0022212387298333022,0.005491599691513832,0.40447936015097796,0.007712838421347134,1479
lesion_KC_MBON,2,5.0,0,542,1.0,0.0027329735496325305,0.00266129820323485,1.0269324742652386,0.00539427175286738,1479
lesion_KC_MBON,2,5.0,1,1542,0.001,0.005312056983833171,0.0051849971087197305,1.0245052931418719,0.010497054092552902,1479
lesion_KC_MBON,2,5.0,1,1542,1.0,0.0038709776657559914,0.0029915414144348505,1.2939742855585057,0.006862519080190842,1479
lesion_KC_MBON,2,5.0,2,2542,0.001,0.0036823893843879137,0.0009854461769711652,3.7367737241309418,0.004667835561359079,1479
lesion_KC_MBON,2,5.0,2,2542,1.0,0.004882478315981868,0.0014219691499038883,3.4336035439856585,0.0063044474658857565,1479
lesion_KC_MBON,2,5.0,3,3542,0.001,0.0007572597649673534,0.0016253865184939831,0.4658951922420916,0.0023826462834613364,1479
lesion_KC_MBON,2,5.0,3,3542,1.0,0.002249182027410917,0.0019701411040541996,1.141634993372234,0.004219323131465117,1479
lesion_KC_MBON,2,5.0,4,4542,0.001,0.0004813808020524443,0.001168943833522128,0.411808324605464,0.0016503246355745725,1479
lesion_KC_MBON,2,5.0,4,4542,1.0,0.001412097480813882,0.0015307692114192035,0.9224757522933358,0.0029428666922330857,1479
lesion_KC_MBON,3,0.0,0,42,0.001,0.014981268402057971,0.014173747806237143,1.0569729760824802,0.029155016208295116,1461
lesion_KC_MBON,3,0.0,0,42,1.0,0.009203779207476273,0.006707940112809401,1.372072357731515,0.015911719320285674,1461
lesion_KC_MBON,3,0.0,1,1042,0.001,0.014981268402057971,0.014173747806237143,1.0569729760824802,0.029155016208295116,1461
lesion_KC_MBON,3,0.0,1,1042,1.0,0.009203779207476273,0.006707940112809401,1.372072357731515,0.015911719320285674,1461
lesion_KC_MBON,3,0.0,2,2042,0.001,0.014981268402057971,0.014173747806237143,1.0569729760824802,0.029155016208295116,1461
